L,A,N,E
719.9,115.82
587.41,266.76
587.01,292.53
720.3,154.06
L,A,N,E
400.26,489.83
369.61,526.7
369.9,535.88
400.85,502.12
L,A,N,E
323.76,588.41
312.63,602.63
312.79,613.03
325.47,597.59
L,A,N,E
292.76,640.3
287.89,649.24
287.99,657.28
294.74,646.65
L,A,N,E
717.2,1058
469.79,869.95
401.78,822.13
319.22,781.82
300.98,776.51
285.44,776.66
272.81,782.93
263.05,796.58
250.4,834.84
253.27,836.77
267.71,800.5
275.16,791.13
285.21,786.65
300.5,788.64
317.7,794.77
330.15,800.65
337.85,801.09
348.06,809.98
353.25,815.6
407.6,848.8
714.68,1132.3
