L,A,N,E
894.06,388.9
741.26,596.93
667.38,641.67
627.09,712.14
602.46,718.29
588.48,750.99
571.38,748.09
554.14,770.57
543.81,767.48
543.61,774.06
556.78,777.15
572.83,756.57
589.23,758.67
605.72,723.95
629.2,720.06
670.74,651.95
741.34,611.6
894.32,411.18
L,A,N,E
891.83,1247.3
744.16,1028.7
670.33,1018.6
631.17,937.52
606.83,945.75
589.7,904.4
570.97,914.27
554.6,884.05
543.31,879.5
542.81,884.55
552.24,890.61
570.77,922.45
587.11,913.69
606.31,954.79
629.22,945.69
667.96,1026.9
740.48,1044.2
891.96,1274.4
