897.12,274.93
709.08,529.05
659.39,620.4
610.53,732.68
587.13,804.57
570.62,871.17
557.49,940.3
538.7,1042.3
531.3,1051.4
524.08,1036
496.87,914.98
496.63,922.22
523.16,1047.5
531.53,1061.3
540.12,1046.4
574.22,873.26
592.37,806.29
616.01,734.34
668.83,621.63
720.15,537.1
899.78,317.77

897.41,223.16
696.23,520.01
649.89,614.79
605.53,725.26
581.83,802.8
565.58,869.7
552.27,940.45
536.79,1032.9
532.32,1043.8
497.33,906.05
496.99,914.75
525.24,1036.3
531.48,1050.6
538.23,1042.3
569.3,870.73
586.43,804.31
609.62,732.38
658.04,618.5
707.82,524.06
899.66,255.64

