L,A,N,E
897.86,1179.2
796.86,1140.7
660.48,1006.2
612.07,1029.2
583.96,1002.4
567,1029.3
551.56,1004.8
550.63,1014.1
566.81,1039.6
584.11,1013.9
612.18,1042
661.7,1023.3
794.57,1166.5
900.5,1217.9
L,A,N,E
711.65,701.7
652.49,746.68
607.11,844.47
579.37,861.39
562.17,899.11
543.86,905.22
539.14,916.31
535.81,916.03
541.08,900.78
559.67,891.9
576.87,852.51
600.45,835.59
645.4,737.95
707.05,683.41
L,A,N,E
791.03,1597.7
683.34,1333.8
624.69,1271.1
588.3,1181.9
570.58,1178.6
553.67,1133
542.39,1136.5
539.66,1121.9
528.76,1125.6
529.21,1129.4
537.39,1128.1
541.02,1142.8
552.61,1142.1
568.28,1186.9
586.91,1192.1
621.82,1281.4
679.2,1349
781.06,1600.5
